question,answer
"Astronomers have discovered several new exoplanets (planets around stars other than our own) in the past year. Match each new planet to its star, size and distance from earth in light years.
Categories:
['Distance', 'Exo-Planet', 'Star']

Distance: ['41 light year', '43 light year', '45 light year', '47 light year']
Exo-Planet: ['Llyrak', 'Ereph', 'Quael', 'Zhezios']
Star: ['EX 53', 'PLC 120', 'ZQ 75', 'MKP 427']

Clues:
1. Zhezios is 4 light years closer to us than the exoplanet orbiting star ZQ 75.
2. Llyrak and the exoplanet orbiting star MKP 427 are different planets.
3. Llyrak is 47 light years from earth.
4. Ereph is either the exoplanet 47 light years from earth or the exoplanet 43 light years from earth.
5. The exoplanet orbiting star EX 53 is closer to us than the planet orbiting star MKP 427.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","41 light years | Zhezios | EX 53
43 light years | Ereph | MKP 427
45 light years | Quael | ZQ 75
47 light years | Llyrak | PLC 120"
"Kara recently moved to a new city, so last month she signed up for an online matchmaking service to meet some interesting new people in her area. Using only the clues below, match each of her dates to their age and occupation, and determine where each ended up taking Kara on their first date.
Categories:
['Age', 'Person', 'Profession']

Age: [23, 24, 25, 26]
Person: ['Jesus', 'Brent', 'Eddie', 'Alton']
Profession: ['accountant', 'banker', 'musician', 'teacher']

Clues:
1. Alton was 1 year younger than Brent.
2. Jesus was 1 year older than the accountant.
3. Eddie, the banker and the 24-year-old were all different men.
4. Of Brent and the 24-year-old, one was the accountant and the other was the musician.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","22 | Alton | banker
23 | Brent | accountant
24 | Jesus | musician
25 | Eddie | teacher"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet at the local pet store. The pets available were a cat, dog, bird, and fish. Each pet had a different price tag of $150, $200, $250, or $300. Based on the following clues, can you determine who bought which pet and at what price?
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Cat', 'Dog', 'Bird', 'Fish']

Clues:
Carol bought the dog for $150.
Bob bought the cat for $300.
Alice bought the bird for $250.
David bought the remaining pet at the remaining price.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$250 | Alice | Bird
$200 | David | Fish
$150 | Carol | Dog
$300 | Bob | Cat
"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet at the local pet store. The pets available were a Cat, Dog, Bird, and Fish. Each pet had a different price tag of $150, $200, $250, or $300. Using the given clues, determine who bought which pet and at what price.
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Cat', 'Dog', 'Bird', 'Fish']

Clues:
1. Alice bought the Cat for $200.
2. Bob bought the Dog for $300.
3. The pet that cost $150 was either Carol's pet or the Bird.
4. Carol bought a pet for $250.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$300 | Bob | Dog
$200 | Alice | Cat
$250 | Carol | Fish
$150 | David | Bird
"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet (Cat, Dog, Bird, or Fish) at different prices ($150, $200, $250, or $300). Using the given clues, determine who bought which pet and at what price.
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Cat', 'Dog', 'Bird', 'Fish']

Clues:
1. Bob bought a Fish for $300. 
2. David bought a Dog for $250. 
3. The person who paid $150 is either Alice or the one who bought the Cat. 
4. The Cat was bought for $200.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$200 | Carol | Cat
$300 | Bob | Fish
$250 | David | Dog
$150 | Alice | Bird
"
"Four friends - Alice, Bob, Carol, and David - each bought a different pet (Cat, Dog, Bird, or Fish) at different prices ($150, $200, $250, or $300). Using the clues below, determine who bought which pet and at what price.
Categories:
['Price', 'Person', 'Pet']

Price: ['$150', '$200', '$250', '$300']
Person: ['Alice', 'Bob', 'Carol', 'David']
Pet: ['Cat', 'Dog', 'Bird', 'Fish']

Clues:
1. The person who bought the Bird is not Bob. 
2. Carol did not buy the Dog. 
3. David bought either the $250 pet or the Dog. 
4. The $200 pet and the Bird were bought by the same person. 
5. The $300 pet and the Cat were bought by the same person.
6. The pet bought by David is $50 less expensive than Alice.

While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$150 | Bob | Dog
$200 | Carol | Bird
$250 | David | Fish
$300 | Alice | Cat
"
"Four friends went to a farmer's market to buy some fruits. Each friend bought a different type of fruit at a different price. Your task is to find out which fruit each friend bought and how much they paid.
Categories:
['Price', 'Fruit']

Price: ['$5', '$10']
Fruit: ['Apple', 'Banana']

Clues:
1. One of the prices was $5, and the fruit bought for this price was an Apple. 
2. No friend bought a Banana for $10.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$10 | Banana
$5 | Apple
"
"In a small town, two friends, Alice and Bob, were having a discussion about their ages. Each one happily disclosed their current age, which was either 25 or 30. Help us identify the age of each person using the given clues.
Categories:
['Age', 'Person']

Age: ['25', '30']
Person: ['Alice', 'Bob']

Clues:
Bob is 30 years old.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","30 | Bob
25 | Alice
"
"In a small city, there are two newly constructed buildings that have become the talk of the town. Each building has a distinct height, and the challenge is to match the buildings with their respective heights.
Categories:
['Height in meters', 'Building Name']

Height in meters: ['100', '200']
Building Name: ['Skyscraper One', 'Tower Two']

Clues:
200 and Tower Two are directly related.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","200 | Tower Two
100 | Skyscraper One
"
"In a distant future, humans have made groundbreaking discoveries related to planets in our solar system. Two significant discoveries were made concerning Mars and Venus. Each discovery year is directly associated with one of these planets. Can you determine which planet was discovered in which year?
Categories:
['Year of Discovery', 'Planet']

Year of Discovery: ['2019', '2020']
Planet: ['Mars', 'Venus']

Clues:
2020 and Mars are directly related.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","2020 | Mars
2019 | Venus
"
"Four friends recently traveled to two different cities on the same day. They experienced different temperatures in each city. Can you figure out the temperature in each city?
Categories:
['Temperature (°C)', 'City']

Temperature (°C): ['10°C', '25°C']
City: ['New York', 'Los Angeles']

Clues:
10°C is not related to Los Angeles.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","10°C | New York
25°C | Los Angeles
"
"Four friends went to the movie theater, each buying a different genre ticket at different prices. Can you determine which ticket price matches each movie genre?
Categories:
['Ticket Price', 'Movie Genre']

Ticket Price: ['$10', '$15']
Movie Genre: ['Action', 'Comedy']

Clues:
$15 is not related to Action.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$15 | Comedy
$10 | Action
"
"At the farmer's market, different fruits were being sold at different prices. There are four stalls, each selling a different fruit at a different price. Your task is to determine which fruit is sold at which price.
Categories:
['Price', 'Fruit']

Price: ['$1', '$2']
Fruit: ['Apple', 'Banana']

Clues:
$2 and Apple are directly related.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$1 | Banana
$2 | Apple
"
"Four friends recently bought new pets at different prices. Each friend got either a Cat or a Dog, and they spent either $10 or $20 on their pet. Try to figure out which pet each person bought and at what price.
Categories:
['Price', 'Pet']

Price: ['$10', '$20']
Pet: ['Cat', 'Dog']

Clues:
$20 is not related to Cat.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$10 | Cat
$20 | Dog
"
"At a wildlife sanctuary, different animals are undergoing a health evaluation. Among the animals, there is a lion and a tiger, each with a specific weight. Due to a mix-up in the records, their weights need to be accurately matched with the respective animals. The objective is to determine which animal matches with each given weight.
Categories:
['Weight (kg)', 'Animal']

Weight (kg): ['150 kg', '200 kg']
Animal: ['Lion', 'Tiger']

Clues:
150 kg and Lion are directly related.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","150 kg | Lion
200 kg | Tiger
"
"Three friends are planning their vacations in three different cities, each known for a distinct temperature during their travel season.
Categories:
['Temperature (°C)', 'City']

Temperature (°C): ['15', '25', '30']
City: ['New York', 'London', 'Tokyo']

Clues:
London is neither the coldest nor the hottest city.
New York is the hottest city among the three.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","25 | London
30 | New York
15 | Tokyo
"
"Three friends are planning vacations to different destinations, each with a different budget. Can you determine who is going where and how much they are spending?
Categories:
['Budget', 'Vacation Destination']

Budget: ['$500', '$1000', '$1500']
Vacation Destination: ['Hawaii', 'Paris', 'Tokyo']

Clues:
$1500 and Tokyo are directly related.
$500 and Hawaii are directly related.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","$1500 | Tokyo
$500 | Hawaii
$1000 | Paris
"
"Three friends are discussing famous mountains by their elevations. Each friend knows one particular mountain and its corresponding elevation.
Categories:
['Elevation (m)', 'Mountain Name']

Elevation (m): ['8848', '6190', '4808']
Mountain Name: ['Mount Everest', 'Denali', 'Mont Blanc']

Clues:
8848 and Mount Everest are directly related.
Denali is the smallest mountain among the three.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","8848 | Mount Everest
4808 | Denali
6190 | Mont Blanc
"
"In a small neighborhood, three neighbors have different pets of varying ages. Match the pet type to its age.
Categories:
['Age of Pet', 'Pet Type']

Age of Pet: ['2 years', '5 years', '8 years']
Pet Type: ['Cat', 'Dog', 'Parrot']

Clues:
The dog is the oldest pet.
The parrot is 2 years old.


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","2 years | Parrot
5 years | Cat
8 years | Dog
"
"In a whimsical wildlife sanctuary, three animals of different species and heights roam freely, each with a unique characteristic. Visitors are fascinated by the difference in heights among the towering giraffe, the mighty elephant, and the agile kangaroo. To add to the intrigue, the sanctuary holds a contest where visitors can guess which animal is associated with which precise height.
Categories:
['Height (in cm)', 'Animal Species']

Height (in cm): ['150', '175', '200']
Animal Species: ['Elephant', 'Giraffe', 'Kangaroo']

Clues:
Elephant is the tallest animal
Giraffe is not the shortest animal


While answering use the following format:
Step-by-step solution:
Create a table out of your solution where each column represents the categories in the order listed above.","175 | Giraffe
200 | Elephant
150 | Kangaroo
"
